SiteID,Date,Time,Date.Time,Water.Temp.C,Air.LoggerID,Air.RowID,Air.Temp.C,Water.P.psi,Air.BP.psi,Sensor.Depth.ft,DO.mg.L,DO.adj.mg.L,DO.pctsat.percent,Water.LoggerID,Water.RowID,Logger.Deployment,Flag.Date.Time,Flag.Water.Temp.C,Flag.Air.Temp.C,Flag.Air.BP.psi,Flag.Water.P.psi,Flag.Sensor.Depth.ft,Flag.DO.mg.L,Flag.DO.adj.mg.L,Flag.DO.pctsat.percent,Month,Day,Year,MonthDay,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Flag.Gross.Air.Temp.C,Flag.Spike.Air.Temp.C,Flag.RoC.Air.Temp.C,Flag.Flat.Air.Temp.C,Flag.Gross.Water.P.psi,Flag.Spike.Water.P.psi,Flag.RoC.Water.P.psi,Flag.Flat.Water.P.psi,Flag.Gross.Air.BP.psi,Flag.Spike.Air.BP.psi,Flag.RoC.Air.BP.psi,Flag.Flat.Air.BP.psi,Flag.Gross.Sensor.Depth.ft,Flag.Spike.Sensor.Depth.ft,Flag.RoC.Sensor.Depth.ft,Flag.Flat.Sensor.Depth.ft,Flag.Gross.DO.mg.L,Flag.Spike.DO.mg.L,Flag.RoC.DO.mg.L,Flag.Flat.DO.mg.L,Flag.Gross.DO.adj.mg.L,Flag.Spike.DO.adj.mg.L,Flag.RoC.DO.adj.mg.L,Flag.Flat.DO.adj.mg.L,Flag.Gross.DO.pctsat.percent,Flag.Spike.DO.pctsat.percent,Flag.RoC.DO.pctsat.percent,Flag.Flat.DO.pctsat.percent,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C,Comment.MOD.Air.Temp.C,RAW.Air.Temp.C,Comment.MOD.Air.BP.psi,RAW.Air.BP.psi,Comment.MOD.Water.P.psi,RAW.Water.P.psi,Comment.MOD.Sensor.Depth.ft,RAW.Sensor.Depth.ft,Comment.MOD.DO.mg.L,RAW.DO.mg.L,Comment.MOD.DO.adj.mg.L,RAW.DO.adj.mg.L,Comment.MOD.DO.pctsat.percent,RAW.DO.pctsat.percent,RAW.Flag.Date.Time,RAW.Flag.Water.Temp.C,RAW.Flag.Air.Temp.C,RAW.Flag.Air.BP.psi,RAW.Flag.Water.P.psi,RAW.Flag.Sensor.Depth.ft,RAW.Flag.DO.mg.L,RAW.Flag.DO.adj.mg.L,RAW.Flag.DO.pctsat.percent
TestDOPct,2014-07-28,18:30:00,2014-07-28 18:30:00,20.615,10229556,16,21.282,14.0964,13.9471,0.345,20.615,20.625,82.5,10229567,16,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 18:30:00,,20.615,,21.282,,13.9471,,14.0964,,0.345,,20.615,,20.625,,82.5,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,19:00:00,2014-07-28 19:00:00,20.519,10229556,17,21.091,14.1007,13.9507,0.347,20.519,20.529,82.116,10229567,17,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 19:00:00,,20.519,,21.091,,13.9507,,14.1007,,0.347,,20.519,,20.529,,82.116,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,19:30:00,2014-07-28 19:30:00,20.424,10229556,18,20.71,14.098,13.9534,0.334,20.424,20.434,81.736,10229567,18,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 19:30:00,,20.424,,20.71,,13.9534,,14.098,,0.334,,20.424,,20.434,,81.736,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,20:00:00,2014-07-28 20:00:00,20.329,10229556,19,20.424,14.0998,13.9518,0.342,20.329,20.339,81.356,10229567,19,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 20:00:00,,20.329,,20.424,,13.9518,,14.0998,,0.342,,20.329,,20.339,,81.356,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,20:30:00,2014-07-28 20:30:00,20.234,10229556,20,19.853,14.1042,13.9558,0.343,20.234,20.244,80.976,10229567,20,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 20:30:00,,20.234,,19.853,,13.9558,,14.1042,,0.343,,20.234,,20.244,,80.976,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,21:00:00,2014-07-28 21:00:00,20.138,10229556,21,19.282,14.1061,13.9574,0.344,20.138,20.148,80.592,10229567,21,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 21:00:00,,20.138,,19.282,,13.9574,,14.1061,,0.344,,20.138,,20.148,,80.592,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,21:30:00,2014-07-28 21:30:00,20.043,10229556,22,18.901,14.1104,13.9623,0.342,20.043,20.053,80.212,10229567,22,NA,,P,P,P,P,P,F,F,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,F,P,P,P,P,P,P,P,,2014-07-28 21:30:00,,20.043,,18.901,,13.9623,,14.1104,,0.342,,20.043,,20.053,,80.212,,P,P,P,P,P,F,F,P
TestDOPct,2014-07-28,22:00:00,2014-07-28 22:00:00,19.948,10229556,23,18.806,14.1148,13.9619,0.353,19.948,19.958,79.832,10229567,23,NA,,P,P,P,P,P,S,S,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-28 22:00:00,,19.948,,18.806,,13.9619,,14.1148,,0.353,,19.948,,19.958,,79.832,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-28,22:30:00,2014-07-28 22:30:00,19.853,10229556,24,18.711,14.1167,13.966,0.348,19.853,19.863,79.452,10229567,24,NA,,P,P,P,P,P,S,S,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-28 22:30:00,,19.853,,18.711,,13.966,,14.1167,,0.348,,19.853,,19.863,,79.452,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-28,23:00:00,2014-07-28 23:00:00,19.758,10229556,25,18.426,14.1186,13.9668,0.351,19.758,19.768,79.072,10229567,25,NA,,P,P,P,P,P,S,S,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-28 23:00:00,,19.758,,18.426,,13.9668,,14.1186,,0.351,,19.758,,19.768,,79.072,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-28,23:30:00,2014-07-28 23:30:00,19.662,10229556,26,18.14,14.1183,13.97,0.343,19.662,19.672,78.688,10229567,26,NA,,P,P,P,P,P,S,S,P,7,28,2014,0728,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-28 23:30:00,,19.662,,18.14,,13.97,,14.1183,,0.343,,19.662,,19.672,,78.688,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,00:00:00,2014-07-29 00:00:00,19.567,10229556,27,17.95,14.1178,13.9666,0.35,19.567,19.577,78.308,10229567,27,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 00:00:00,,19.567,,17.95,,13.9666,,14.1178,,0.35,,19.567,,19.577,,78.308,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,00:30:00,2014-07-29 00:30:00,19.472,10229556,28,17.57,14.1151,13.9668,0.343,19.472,19.482,77.928,10229567,28,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 00:30:00,,19.472,,17.57,,13.9668,,14.1151,,0.343,,19.472,,19.482,,77.928,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,01:00:00,2014-07-29 01:00:00,19.377,10229556,29,17.189,14.1146,13.9648,0.346,19.377,19.387,77.548,10229567,29,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 01:00:00,,19.377,,17.189,,13.9648,,14.1146,,0.346,,19.377,,19.387,,77.548,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,01:30:00,2014-07-29 01:30:00,19.282,10229556,30,16.808,14.1142,13.9651,0.345,19.282,19.292,77.168,10229567,30,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 01:30:00,,19.282,,16.808,,13.9651,,14.1142,,0.345,,19.282,,19.292,,77.168,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,02:00:00,2014-07-29 02:00:00,19.187,10229556,31,16.523,14.1114,13.9637,0.342,19.187,19.197,76.788,10229567,31,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 02:00:00,,19.187,,16.523,,13.9637,,14.1114,,0.342,,19.187,,19.197,,76.788,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,02:30:00,2014-07-29 02:30:00,19.092,10229556,32,16.237,14.104,13.9573,0.339,19.092,19.102,76.408,10229567,32,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 02:30:00,,19.092,,16.237,,13.9573,,14.104,,0.339,,19.092,,19.102,,76.408,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,03:00:00,2014-07-29 03:00:00,18.901,10229556,33,16.046,14.1033,13.9539,0.345,18.901,18.911,75.644,10229567,33,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 03:00:00,,18.901,,16.046,,13.9539,,14.1033,,0.345,,18.901,,18.911,,75.644,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,03:30:00,2014-07-29 03:30:00,18.806,10229556,34,15.855,14.1029,13.9577,0.335,18.806,18.816,75.264,10229567,34,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 03:30:00,,18.806,,15.855,,13.9577,,14.1029,,0.335,,18.806,,18.816,,75.264,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,04:00:00,2014-07-29 04:00:00,18.711,10229556,35,15.664,14.1048,13.959,0.337,18.711,18.721,74.884,10229567,35,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 04:00:00,,18.711,,15.664,,13.959,,14.1048,,0.337,,18.711,,18.721,,74.884,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,04:30:00,2014-07-29 04:30:00,18.616,10229556,36,15.473,14.1068,13.9603,0.338,18.616,18.626,74.504,10229567,36,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 04:30:00,,18.616,,15.473,,13.9603,,14.1068,,0.338,,18.616,,18.626,,74.504,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,05:00:00,2014-07-29 05:00:00,18.521,10229556,37,15.282,14.1087,13.9616,0.34,18.521,18.531,74.124,10229567,37,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 05:00:00,,18.521,,15.282,,13.9616,,14.1087,,0.34,,18.521,,18.531,,74.124,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,05:30:00,2014-07-29 05:30:00,18.426,10229556,38,15.091,14.1107,13.9629,0.342,18.426,18.436,73.744,10229567,38,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 05:30:00,,18.426,,15.091,,13.9629,,14.1107,,0.342,,18.426,,18.436,,73.744,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,06:00:00,2014-07-29 06:00:00,18.331,10229556,39,14.996,14.1126,13.9648,0.341,18.331,18.341,73.364,10229567,39,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 06:00:00,,18.331,,14.996,,13.9648,,14.1126,,0.341,,18.331,,18.341,,73.364,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,06:30:00,2014-07-29 06:30:00,18.236,10229556,40,14.9,14.1122,13.9642,0.342,18.236,18.246,72.984,10229567,40,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 06:30:00,,18.236,,14.9,,13.9642,,14.1122,,0.342,,18.236,,18.246,,72.984,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,07:00:00,2014-07-29 07:00:00,18.14,10229556,41,14.9,14.1119,13.9642,0.341,18.14,18.15,72.6,10229567,41,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 07:00:00,,18.14,,14.9,,13.9642,,14.1119,,0.341,,18.14,,18.15,,72.6,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,07:30:00,2014-07-29 07:30:00,18.14,10229556,42,15.187,14.1142,13.9681,0.337,18.14,18.15,72.6,10229567,42,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 07:30:00,,18.14,,15.187,,13.9681,,14.1142,,0.337,,18.14,,18.15,,72.6,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,08:00:00,2014-07-29 08:00:00,18.14,10229556,43,15.76,14.1165,13.9689,0.341,18.14,18.15,72.6,10229567,43,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 08:00:00,,18.14,,15.76,,13.9689,,14.1165,,0.341,,18.14,,18.15,,72.6,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,08:30:00,2014-07-29 08:30:00,18.236,10229556,44,16.618,14.1193,13.9735,0.337,18.236,18.246,72.984,10229567,44,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 08:30:00,,18.236,,16.618,,13.9735,,14.1193,,0.337,,18.236,,18.246,,72.984,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,09:00:00,2014-07-29 09:00:00,18.236,10229556,45,17.284,14.1239,13.9771,0.339,18.236,18.246,72.984,10229567,45,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 09:00:00,,18.236,,17.284,,13.9771,,14.1239,,0.339,,18.236,,18.246,,72.984,,P,P,P,P,P,S,S,P
TestDOPct,2014-07-29,09:30:00,2014-07-29 09:30:00,18.331,10229556,46,17.855,14.1244,13.9802,0.333,18.331,18.341,73.364,10229567,46,NA,,P,P,P,P,P,S,S,P,7,29,2014,0729,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,S,P,P,P,S,P,P,P,P,P,P,P,,2014-07-29 09:30:00,,18.331,,17.855,,13.9802,,14.1244,,0.333,,18.331,,18.341,,73.364,,P,P,P,P,P,S,S,P
